Hoogovens,Certificerend Actuaris Hoogovens
RBS Nederland,Pensioenbureau RBS Nederland
ANWB P,Commercieel belangrijk ANWB P
Grolsche bierbrouwerij,Fiduciair Manager Grolsche bierbrouwerij
SPF beheer,Raad van toezicht SPF beheer
Blue Sky Group,Raad van toezicht Blue Sky Group
KLM-Cabinepersoneel,Eind contract pensioenadministrateur KLM-Cabinepersoneel
NIBC,Pensioenbureau NIBC
Landbouw,Pensioenbureau Landbouw
De Nationale,Visitatiecommissie De Nationale
Notariaat,Visitatiecommissie Notariaat
Croda,Visitatiecommissie Croda
KCM,Fiduciair Manager KCM
Houtverwerkende industrie,Accountant Houtverwerkende industrie
Smurfit Kappa Nederland,Certificerend Actuaris Smurfit Kappa Nederland
Ernst & Young,Eind contract herverzekeraar Ernst & Young
Ring Transavia cabinepersoneel,Visitatiecommissie Ring Transavia cabinepersoneel
Horecabedrijf,Adviserend Actuaris Horecabedrijf
NN,Pensioenbureau NN
DSM Nederland,Pensioenbureau DSM Nederland
Koopvaardij,Pensioenbureau Koopvaardij
RBS Nederland,Visitatiecommissie RBS Nederland
Vopak,Visitatiecommissie Vopak
Holland Casino,Adviserend Actuaris Holland Casino
Betonproduktenindustrie,Herverzekeraar Betonproduktenindustrie
VNU,Accountant VNU
Fresenius Nederland,Certificerend Actuaris Fresenius Nederland
"Metalektro, bedrijfstakpensioenfonds","Pensioenadministratie Metalektro, bedrijfstakpensioenfonds"
Lombard Odier,Visitatiecommissie Lombard Odier
SPF beheer,Certificerend Actuaris SPF beheer
McCain,Pensioenadministratie McCain
Mars,Visitatiecommissie Mars
BP,Herverzekeraar BP
Grontmij,Vermogensbeheer Grontmij
Witteveen & Bos,Vermogensbeheer Witteveen & Bos
SNS Reaal Groep,Vermogensbeheer SNS Reaal Groep
Hagee,Accountant Hagee
Houthandel,Pensioenbureau Houthandel
Alcatel-Lucent,Pensioenbureau Alcatel-Lucent
Aon Groep Nederland,Auditcommissie Aon Groep Nederland
Douwe Egberts,Auditcommissie Douwe Egberts
Blue Sky Group,Auditcommissie Blue Sky Group
Grolsche bierbrouwerij,Auditcommissie Grolsche bierbrouwerij
Vitol Anker,Eind contract pensioenadministrateur Vitol Anker
Horecabedrijf,Raad van toezicht Horecabedrijf
Elsevier-Ondernemingen,Raad van toezicht Elsevier-Ondernemingen
TBI,Beleggingsadviseur TBI
Kappersbedrijf,Eind contract pensioenadministrateur Kappersbedrijf
Wolters Kluwer Nederland,Raad van toezicht Wolters Kluwer Nederland
Delta Lloyd,Raad van toezicht Delta Lloyd
Russell,Raad van toezicht Russell
General Electric Nederland,Pensioenbureau General Electric Nederland
Sigarenindustrie en aanverwante Bedrijven,Adviserend Actuaris Sigarenindustrie en aanverwante Bedrijven
Aon Groep Nederland,Visitatiecommissie Aon Groep Nederland
Rabobankorganisatie,Visitatiecommissie Rabobankorganisatie
BP,Vermogensbeheer BP
APG,Vermogensbeheer APG
IBM Nederland,Eind contract pensioenadministrateur IBM Nederland
Zoetwarenindustrie,Bestuursbureau Zoetwarenindustrie
Provisum,Bestuursbureau Provisum
KPN,Bestuursbureau KPN
Huysman,Bestuursbureau Huysman
Dow,Bestuursbureau Dow
Nedlloyd,Bestuursbureau Nedlloyd
TNO,Bestuursbureau TNO
NN,Bestuursbureau NN
BP,Raad van toezicht BP
Stap,Raad van toezicht Stap
Ring Transavia grondpersoneel,Beleggingsadviseur Ring Transavia grondpersoneel
Douwe Egberts,Fiduciair Manager Douwe Egberts
OWASE P,Herverzekeraar OWASE P
VNU,Certificerend Actuaris VNU
Tandartsen en Tandarts-Specialisten,Commercieel belangrijk Tandartsen en Tandarts-Specialisten
Zorgverzekeraars,Fiduciair Manager Zorgverzekeraars
Timeos,Certificerend Actuaris Timeos
"Metalektro, bedrijfstakpensioenfonds","Visitatiecommissie Metalektro, bedrijfstakpensioenfonds"
Deloitte,Bestuursbureau Deloitte
Campina,Raad van toezicht Campina
Bouwnijverheid,Raad van toezicht Bouwnijverheid
Personeelspensioenfonds APG,Bestuursbureau Personeelspensioenfonds APG
Apothekers,Bestuursbureau Apothekers
Fluor Nederland,Bestuursbureau Fluor Nederland
Beroepsvervoer over de Weg,Bestuursbureau Beroepsvervoer over de Weg
Metaal en Techniek,Herverzekeraar Metaal en Techniek
CRH,Visitatiecommissie CRH
TOTAL,Bestuursbureau TOTAL
Ring DHV,Bestuursbureau Ring DHV
Roeiers in het Rotterdamse havengebied,Bestuursbureau Roeiers in het Rotterdamse havengebied
Tandartsen en Tandarts-Specialisten,Bestuursbureau Tandartsen en Tandarts-Specialisten
Hewlett-Packard,Bestuursbureau Hewlett-Packard
Accountancy,Raad van toezicht Accountancy
Huysman,Pensioenbureau Huysman
Astellas,Pensioenbureau Astellas
TNO,Fiduciair Manager TNO
AZL,Beleggingsadviseur AZL
Trespa,Certificerend Actuaris Trespa
PepsiCo Nederland,Moederbedrijf PepsiCo Nederland
Brocacef,Herverzekeraar Brocacef
Waterbouw BPF,Bestuursbureau Waterbouw BPF
Koopvaardij,Visitatiecommissie Koopvaardij
Ballast Nedam,Visitatiecommissie Ballast Nedam
Bouwnijverheid,Eind contract herverzekeraar Bouwnijverheid
Nike Nederland,Raad van toezicht Nike Nederland
YARA Nederland,Raad van toezicht YARA Nederland
Bouwnijverheid,Fiduciair Manager Bouwnijverheid
Flexsecurity,Eind contract pensioenadministrateur Flexsecurity
Verloskundigen,Raad van toezicht Verloskundigen
Bouwmaterialen,Visitatiecommissie Bouwmaterialen
Recreatie (SPR),Visitatiecommissie Recreatie (SPR)
ABN AMRO Bank,Eind contract pensioenadministrateur ABN AMRO Bank
KPN,Visitatiecommissie KPN
Buizerdlaan,Beleggingscommissie Buizerdlaan
Metro,Beleggingsadviseur Metro
Thales,Compliance officer Thales
Tandtechniek,Adviserend Actuaris Tandtechniek
BP,Voert regeling uit voor BP
Personeelspensioenfonds APG,Raad van toezicht Personeelspensioenfonds APG
Rijn- en Binnenvaart,Raad van toezicht Rijn- en Binnenvaart
MPD,Herverzekeraar MPD
Nederlandsche Bank,Adviserend Actuaris Nederlandsche Bank
Stap,Adviserend Actuaris Stap
UWV,Pensioenadministratie UWV
IKEA,Herverzekeraar IKEA
Zoetwarenindustrie,Vermogensbeheer Zoetwarenindustrie
Rabobankorganisatie,Vermogensbeheer Rabobankorganisatie
Stap,Accountant Stap
Wolters Kluwer Nederland,Adviserend Actuaris Wolters Kluwer Nederland
British American Tobacco,Visitatiecommissie British American Tobacco
DSM Nederland,Adviserend Actuaris DSM Nederland
Waterbouw BPF,Certificerend Actuaris Waterbouw BPF
"Metalektro, bedrijfstakpensioenfonds","Adviserend Actuaris Metalektro, bedrijfstakpensioenfonds"
Randstad,Eind contract pensioenadministrateur Randstad
TOTAL,Eind contract herverzekeraar TOTAL
Wonen,Certificerend Actuaris Wonen
Avery Dennison,Voert regeling uit voor Avery Dennison
APG,Commercieel belangrijk APG
Levensmiddelenbedrijf,Pensioenadministratie Levensmiddelenbedrijf
Waterbouw BPF,Adviserend Actuaris Waterbouw BPF
Mn Services,Certificerend Actuaris Mn Services
Huisartsen,Accountant Huisartsen
Grolsche bierbrouwerij,Voert regeling uit voor Grolsche bierbrouwerij
Progress Unilever,Moederbedrijf Progress Unilever
Gasunie,Pensioenadministratie Gasunie
NN,Fiduciair Manager NN
Lombard Odier,Adviserend Actuaris Lombard Odier
ANWB P,Accountant ANWB P
Atradius,Visitatiecommissie Atradius
Robeco AM,Visitatiecommissie Robeco AM
AVEBE,Herverzekeraar AVEBE
ING Bank CDC fonds,Eind contract herverzekeraar ING Bank CDC fonds
Architectenbureaus,Omschrijving moederbedrijf Architectenbureaus
Landbouw,Moederbedrijf Landbouw
SC Johnson,Adviserend Actuaris SC Johnson
Sigarenindustrie en aanverwante Bedrijven,Commercieel belangrijk Sigarenindustrie en aanverwante Bedrijven
KLM-Cabinepersoneel,Vermogensbeheer KLM-Cabinepersoneel
Atradius,Vermogensbeheer Atradius
General Electric Nederland,Vermogensbeheer General Electric Nederland
Albemarle,Vermogensbeheer Albemarle
Equens,Vermogensbeheer Equens
Ring DHV,Adviserend Actuaris Ring DHV
Smurfit Kappa Nederland,Pensioenbureau Smurfit Kappa Nederland
Ring Transavia cabinepersoneel,Commercieel belangrijk Ring Transavia cabinepersoneel
Cate Koninklijke,Eind contract pensioenadministrateur Cate Koninklijke
Technische Groothandel Vroeg,Pensioenbureau Technische Groothandel Vroeg
Huisartsen in Opleiding,Visitatiecommissie Huisartsen in Opleiding
Russell,Adviserend Actuaris Russell
Centraal Beheer,Visitatiecommissie Centraal Beheer
Waterbouw BPF,Visitatiecommissie Waterbouw BPF
Huisartsen,Commercieel belangrijk Huisartsen
SCA,Vermogensbeheer SCA
Getronics,Vermogensbeheer Getronics
Ring DHV,Commercieel belangrijk Ring DHV
TKP,Pensioenadministratie TKP
Sligro Food Group,Bestuursbureau Sligro Food Group
Citigroup Nederland,Bestuursbureau Citigroup Nederland
SPF beheer,Commercieel belangrijk SPF beheer
Honeywell,Pensioenbureau Honeywell
Sligro Food Group,Pensioenbureau Sligro Food Group
Schoonmaak- en Glazenwassersbedrijf,Beleggingsadviseur Schoonmaak- en Glazenwassersbedrijf
Verloskundigen,Vermogensbeheer Verloskundigen
Architectenbureaus,Pensioenbureau Architectenbureaus
Tandartsen en Tandarts-Specialisten,Pensioenbureau Tandartsen en Tandarts-Specialisten
Hewlett-Packard,Pensioenbureau Hewlett-Packard
Apothekers,Pensioenbureau Apothekers
ORTEC,Pensioenbureau ORTEC
Wonen,Commercieel belangrijk Wonen
Protector,Vermogensbeheer Protector
AXA,Vermogensbeheer AXA
Stap,Vermogensbeheer Stap
Allianz Nederland,Vermogensbeheer Allianz Nederland
Douwe Egberts,Commercieel belangrijk Douwe Egberts
Urenco Nederland,Visitatiecommissie Urenco Nederland
TNO,Commercieel belangrijk TNO
UWV,Bestuursbureau UWV
Levensmiddelen Groothandel,Bestuursbureau Levensmiddelen Groothandel
YARA Nederland,Eind contract pensioenadministrateur YARA Nederland
Shell,Raad van toezicht Shell
Zuivel en aanverwante industrie,Vermogensbeheer Zuivel en aanverwante industrie
British American Tobacco,Vermogensbeheer British American Tobacco
Technische Groothandel Vroeg,Beleggingsadviseur Technische Groothandel Vroeg
Unirobe Meeus groep,Beleggingsadviseur Unirobe Meeus groep
Hewlett-Packard,Vermogensbeheer Hewlett-Packard
Douwe Egberts,Vermogensbeheer Douwe Egberts
IFF,Vermogensbeheer IFF
Thales,Vermogensbeheer Thales
Apothekers,Vermogensbeheer Apothekers
FORD Nederland,Vermogensbeheer FORD Nederland
GE Artesia Bank,Vermogensbeheer GE Artesia Bank
Particuliere Beveiliging,Vermogensbeheer Particuliere Beveiliging
Atos Origin,Commercieel belangrijk Atos Origin
Coram,Commercieel belangrijk Coram
Ring Transavia cabinepersoneel,Bestuursbureau Ring Transavia cabinepersoneel
Achmea IM,Beleggingsadviseur Achmea IM
Achmea IM,Vermogensbeheer Achmea IM
Landbouw,Vermogensbeheer Landbouw
Huntsman Rozenburg,Vermogensbeheer Huntsman Rozenburg
Ring Haskoning,Vermogensbeheer Ring Haskoning
Mars,Vermogensbeheer Mars
Xerox,Vermogensbeheer Xerox
Roeiers in het Rotterdamse havengebied,Vermogensbeheer Roeiers in het Rotterdamse havengebied
Consumentenbond,Vermogensbeheer Consumentenbond
NN,Vermogensbeheer NN
Sanoma Magazines Nederland,Vermogensbeheer Sanoma Magazines Nederland
Zorg en Welzijn,Vermogensbeheer Zorg en Welzijn
Vopak,Vermogensbeheer Vopak
Nederlandsche Bank,Vermogensbeheer Nederlandsche Bank
Dow,Vermogensbeheer Dow
Woningcorporaties,Vermogensbeheer Woningcorporaties
Bouwnijverheid,Vermogensbeheer Bouwnijverheid
Security,Vermogensbeheer Security
Provisum,Vermogensbeheer Provisum
Rockwool,Vermogensbeheer Rockwool
Citigroup Nederland,Vermogensbeheer Citigroup Nederland
Sagittarius,Vermogensbeheer Sagittarius
ANWB P,Vermogensbeheer ANWB P
Houtverwerkende industrie,Vermogensbeheer Houtverwerkende industrie
Cindu International,Vermogensbeheer Cindu International
Bakkersbedrijf BPF,Vermogensbeheer Bakkersbedrijf BPF
Ring Transavia grondpersoneel,Vermogensbeheer Ring Transavia grondpersoneel
Robeco AM,Vermogensbeheer Robeco AM
Personeelspensioenfonds APG,Vermogensbeheer Personeelspensioenfonds APG
Transport,Vermogensbeheer Transport
Detailhandel,Vermogensbeheer Detailhandel
ORTEC,Vermogensbeheer ORTEC
Robeco,Vermogensbeheer Robeco
Alliance,Vermogensbeheer Alliance
Schoenmakerij,Vermogensbeheer Schoenmakerij
DSM Nederland,Vermogensbeheer DSM Nederland
Nike Nederland,Vermogensbeheer Nike Nederland
MSD,Vermogensbeheer MSD
BlackRock,Vermogensbeheer BlackRock
Henkel,Vermogensbeheer Henkel
KCM,Vermogensbeheer KCM
Heijmans,Vermogensbeheer Heijmans
Fysiotherapeuten,Vermogensbeheer Fysiotherapeuten
Werk en (re)Integratie,Vermogensbeheer Werk en (re)Integratie
Het Nederlandse Pensioenfonds,Vermogensbeheer Het Nederlandse Pensioenfonds
Openbaar Vervoer,Vermogensbeheer Openbaar Vervoer
APF,Vermogensbeheer APF
KPN, KPN
Levensmiddelen Groothandel, Levensmiddelen Groothandel
Werk en (re)Integratie, Werk en (re)Integratie
Apothekers, Apothekers
Abbott Nederland, Abbott Nederland
Fysiotherapeuten, Fysiotherapeuten
KLM Algemeen, KLM Algemeen
"Schoen-, Leder- en Lederwarenindustrie"," Schoen-, Leder- en Lederwarenindustrie"
PGB, PGB
Detailhandel, Detailhandel
Houthandel, Houthandel
Consumentenbond, Consumentenbond
Nederlandsche Bank, Nederlandsche Bank
Reisbranche, Reisbranche
PostNL, PostNL
Wonen, Wonen
Co-op, Co-op
Wolters Kluwer Nederland, Wolters Kluwer Nederland
Bouwnijverheid, Bouwnijverheid
Hoogovens, Hoogovens
Medewerkers Apotheken, Medewerkers Apotheken
Bisdommen, Bisdommen
Kappersbedrijf, Kappersbedrijf
Groothandel, Groothandel
Delta Lloyd, Delta Lloyd
ABP, ABP
Technische Groothandel Vroeg, Technische Groothandel Vroeg
Vopak, Vopak
ING, ING
Will Niemeijer, Will Niemeijer
FORD Nederland, FORD Nederland
"Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf"," Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf"
Xerox, Xerox
SPF beheer, SPF beheer
Henkel, Henkel
Buizerdlaan, Buizerdlaan
Vitol Anker, Vitol Anker
Avery Dennison, Avery Dennison
Stap, Stap
Zuivel en aanverwante industrie, Zuivel en aanverwante industrie
Cap Gemini Nederland, Cap Gemini Nederland
Zorgverzekeraars, Zorgverzekeraars
Molenaarspensioenfonds, Molenaarspensioenfonds
Agrarische en Voedselvoorzieningshandel, Agrarische en Voedselvoorzieningshandel
General Electric Nederland, General Electric Nederland
Personeelspensioenfonds APG, Personeelspensioenfonds APG
Consumentenbond,Commercieel belangrijk Consumentenbond
Horecabedrijf,Commercieel belangrijk Horecabedrijf
Spoorwegpensioenfonds,Commercieel belangrijk Spoorwegpensioenfonds
Cap Gemini Nederland,Vermogensbeheer Cap Gemini Nederland
Urenco Nederland,Vermogensbeheer Urenco Nederland
Cargill,Vermogensbeheer Cargill
Spoorwegpensioenfonds,Vermogensbeheer Spoorwegpensioenfonds
Achmea Personeel,Vermogensbeheer Achmea Personeel
Telegraafpensioenfonds 1959,Vermogensbeheer Telegraafpensioenfonds 1959
TOTAL,Vermogensbeheer TOTAL
Lanschot,Vermogensbeheer Lanschot
Croda,Vermogensbeheer Croda
Mercer,Vermogensbeheer Mercer
HAL,Vermogensbeheer HAL
"Schoen-, Leder- en Lederwarenindustrie","Vermogensbeheer Schoen-, Leder- en Lederwarenindustrie"
ABP,Vermogensbeheer ABP
Fresenius Nederland,Vermogensbeheer Fresenius Nederland
Notarieel,Vermogensbeheer Notarieel
Sligro Food Group,Vermogensbeheer Sligro Food Group
Bavaria,Vermogensbeheer Bavaria
AVEBE,Vermogensbeheer AVEBE
Cate Koninklijke,Vermogensbeheer Cate Koninklijke
Brocacef,Vermogensbeheer Brocacef
Ecolab,Vermogensbeheer Ecolab
KPN,Vermogensbeheer KPN
Molenaarspensioenfonds,Vermogensbeheer Molenaarspensioenfonds
Will Niemeijer,Vermogensbeheer Will Niemeijer
"Mode-, Interieur-, Tapijt- en Textielindustrie","Vermogensbeheer Mode-, Interieur-, Tapijt- en Textielindustrie"
Horecabedrijf,Vermogensbeheer Horecabedrijf
Remia,Vermogensbeheer Remia
Centraal Beheer,Vermogensbeheer Centraal Beheer
Equens,Commercieel belangrijk Equens
Ring Transavia cabinepersoneel,Vermogensbeheer Ring Transavia cabinepersoneel
SABIC,Vermogensbeheer SABIC
Bouwmaterialen,Vermogensbeheer Bouwmaterialen
Betonproduktenindustrie,Beleggingsadviseur Betonproduktenindustrie
ARCADIS Nederland,Vermogensbeheer ARCADIS Nederland
AHOLD,Vermogensbeheer AHOLD
Waterbouw BPF,Vermogensbeheer Waterbouw BPF
Fracties,Vermogensbeheer Fracties
Elsevier-Ondernemingen,Vermogensbeheer Elsevier-Ondernemingen
Flexsecurity,Vermogensbeheer Flexsecurity
KLM Algemeen,Vermogensbeheer KLM Algemeen
Blue Sky Group,Vermogensbeheer Blue Sky Group
Medewerkers Apotheken,Vermogensbeheer Medewerkers Apotheken
Kunststof- en Rubberindustrie,Vermogensbeheer Kunststof- en Rubberindustrie
Gasunie,Vermogensbeheer Gasunie
Russell,Vermogensbeheer Russell
TBI,Vermogensbeheer TBI
Kas Bank,Vermogensbeheer Kas Bank
Hagee,Vermogensbeheer Hagee
Rijn- en Binnenvaart,Vermogensbeheer Rijn- en Binnenvaart
NIBC,Vermogensbeheer NIBC
Smurfit Kappa Nederland,Vermogensbeheer Smurfit Kappa Nederland
TDV,Vermogensbeheer TDV
Reisbranche,Vermogensbeheer Reisbranche
Dierenartsen,Vermogensbeheer Dierenartsen
Recreatie (SPR),Vermogensbeheer Recreatie (SPR)
SPF beheer,Vermogensbeheer SPF beheer
PGB,Vermogensbeheer PGB
Hoogovens,Vermogensbeheer Hoogovens
Nedlloyd,Vermogensbeheer Nedlloyd
Honeywell,Vermogensbeheer Honeywell
PGGM,Vermogensbeheer PGGM
Textielgoederen en Aanverwante Artikelen Groothandel,Vermogensbeheer Textielgoederen en Aanverwante Artikelen Groothandel
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Vermogensbeheer Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie
Tandartsen en Tandarts-Specialisten,Vermogensbeheer Tandartsen en Tandarts-Specialisten
Lombard Odier,Vermogensbeheer Lombard Odier
"Schilders-, Afwerkings- en Glaszetbedrijf","Vermogensbeheer Schilders-, Afwerkings- en Glaszetbedrijf"
Architectenbureaus,Vermogensbeheer Architectenbureaus
TKP,Vermogensbeheer TKP
UWV,Vermogensbeheer UWV
Aon Groep Nederland,Vermogensbeheer Aon Groep Nederland
"Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf","Vermogensbeheer Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf"
Wonen,Vermogensbeheer Wonen
Deutsche Bank Nederland,Vermogensbeheer Deutsche Bank Nederland
MN,Vermogensbeheer MN
VNU,Vermogensbeheer VNU
Volo,Vermogensbeheer Volo
B&S,Vermogensbeheer B&S
Campina,Vermogensbeheer Campina
Notariaat,Vermogensbeheer Notariaat
Wolters Kluwer Nederland,Vermogensbeheer Wolters Kluwer Nederland
Heineken,Vermogensbeheer Heineken
Hunter Douglas,Vermogensbeheer Hunter Douglas
Astellas,Vermogensbeheer Astellas
Levensmiddelen Groothandel,Vermogensbeheer Levensmiddelen Groothandel
Delta Lloyd,Vermogensbeheer Delta Lloyd
Forbo,Vermogensbeheer Forbo
Cosun,Vermogensbeheer Cosun
Samenwerking / Slagersbedrijf,Vermogensbeheer Samenwerking / Slagersbedrijf
Security, Security
Architectenbureaus, Architectenbureaus
Metaal en Techniek, Metaal en Techniek
AHOLD, AHOLD
FORD Nederland,Bestuursbureau FORD Nederland
Agrarische en Voedselvoorzieningshandel,Vermogensbeheer Agrarische en Voedselvoorzieningshandel
ERIKS,Vermogensbeheer ERIKS
Personeelspensioenfonds APF, Personeelspensioenfonds APF
Atradius,Commercieel belangrijk Atradius
Pensura,Commercieel belangrijk Pensura
KLM Vliegend Personeel,Commercieel belangrijk KLM Vliegend Personeel
Citigroup Nederland,Commercieel belangrijk Citigroup Nederland
Unilever NL Forward,Commercieel belangrijk Unilever NL Forward
Witteveen & Bos, Witteveen & Bos
Hagee, Hagee
AVEBE, AVEBE
Allianz Nederland, Allianz Nederland
SC Johnson,Vermogensbeheer SC Johnson
Roba,Vermogensbeheer Roba
Legal & General,Vermogensbeheer Legal & General
Medische Specialisten,Vermogensbeheer Medische Specialisten
Philips,Vermogensbeheer Philips
Bibliotheken openbare,Vermogensbeheer Bibliotheken openbare
ING,Vermogensbeheer ING
Huysman,Vermogensbeheer Huysman
Avery Dennison,Vermogensbeheer Avery Dennison
Unisys Nederland,Vermogensbeheer Unisys Nederland
KLM Vliegend Personeel,Vermogensbeheer KLM Vliegend Personeel
Chevron,Vermogensbeheer Chevron
CRH,Vermogensbeheer CRH
Timeos,Vermogensbeheer Timeos
Randstad,Vermogensbeheer Randstad
Unirobe Meeus groep,Vermogensbeheer Unirobe Meeus groep
Banden- en Wielenbranche,Vermogensbeheer Banden- en Wielenbranche
Ring DHV,Vermogensbeheer Ring DHV
ING Bank CDC fonds,Vermogensbeheer ING Bank CDC fonds
"Mode-, Interieur-, Tapijt- en Textielindustrie","Raad van toezicht Mode-, Interieur-, Tapijt- en Textielindustrie"
Technische Groothandel Vroeg,Raad van toezicht Technische Groothandel Vroeg
Zorg en Welzijn,Certificerend Actuaris Zorg en Welzijn
PGB,Adviserend Actuaris PGB
Volo,Bestuursbureau Volo
Textielverzorging,Vermogensbeheer Textielverzorging
Tandtechniek,Vermogensbeheer Tandtechniek
TrueBlue,Vermogensbeheer TrueBlue
BlackRock,Commercieel belangrijk BlackRock
Huisartsen,Bestuursbureau Huisartsen
Meubelindustrie en Meubileringsbedrijven,Bestuursbureau Meubelindustrie en Meubileringsbedrijven
HAL,Bestuursbureau HAL
TNT express,Commercieel belangrijk TNT express
Schoenmakerij,Bestuursbureau Schoenmakerij
Zorgverzekeraars,Bestuursbureau Zorgverzekeraars
Samenwerking / Slagersbedrijf,Bestuursbureau Samenwerking / Slagersbedrijf
Holland Casino,Bestuursbureau Holland Casino
Agrarische en Voedselvoorzieningshandel,Bestuursbureau Agrarische en Voedselvoorzieningshandel
Bavaria,Bestuursbureau Bavaria
Chevron,Bestuursbureau Chevron
Remia,Bestuursbureau Remia
Provisum,Pensioenbureau Provisum
Roeiers in het Rotterdamse havengebied,Pensioenbureau Roeiers in het Rotterdamse havengebied
Cap Gemini Nederland,Commercieel belangrijk Cap Gemini Nederland
MPD,Vermogensbeheer MPD
Pensura,Vermogensbeheer Pensura
Fluor Nederland,Vermogensbeheer Fluor Nederland
Groothandel,Vermogensbeheer Groothandel
RBS Nederland,Vermogensbeheer RBS Nederland
YARA Nederland,Vermogensbeheer YARA Nederland
BMO,Vermogensbeheer BMO
Technische Groothandel Vroeg,Vermogensbeheer Technische Groothandel Vroeg
Ring Pon,Vermogensbeheer Ring Pon
PostNL,Vermogensbeheer PostNL
Houthandel,Commercieel belangrijk Houthandel
NIBC,Commercieel belangrijk NIBC
PepsiCo Nederland,Vermogensbeheer PepsiCo Nederland
Unilever NL Forward,Vermogensbeheer Unilever NL Forward
Metro,Vermogensbeheer Metro
Deloitte,Vermogensbeheer Deloitte
Atos Origin,Vermogensbeheer Atos Origin
Alliance,Balansmanagement commissie Alliance
Shell,Balansmanagement commissie Shell
Delta Lloyd,Balansmanagement commissie Delta Lloyd
Technische Groothandel Vroeg,Balansmanagement commissie Technische Groothandel Vroeg
Particuliere Beveiliging,Balansmanagement commissie Particuliere Beveiliging
APG,Balansmanagement commissie APG
Beroepsvervoer over de Weg,Balansmanagement commissie Beroepsvervoer over de Weg
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Balansmanagement commissie Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie
"Schoen-, Leder- en Lederwarenindustrie","Bestuursbureau Schoen-, Leder- en Lederwarenindustrie"
ANWB P,Beleggingsadviseur ANWB P
Volo,Pensioenbureau Volo
Sagittarius,Pensioenbureau Sagittarius
Lanschot,Bestuursbureau Lanschot
Witteveen & Bos,Visitatiecommissie Witteveen & Bos
Textielverzorging,Beleggingsadviseur Textielverzorging
OWASE P,Visitatiecommissie OWASE P
Nedlloyd,Visitatiecommissie Nedlloyd
Notarieel,Beleggingsadviseur Notarieel
Timeos,Visitatiecommissie Timeos
KCM,Beleggingsadviseur KCM
IBM Nederland,Visitatiecommissie IBM Nederland
FORD Nederland,Fiduciair Manager FORD Nederland
Apothekers,Pensioenadministratie Apothekers
Dierenartsen,Accountant Dierenartsen
Buizerdlaan,Adviserend Actuaris Buizerdlaan
Beroepsvervoer over de Weg,Beleggingsadviseur Beroepsvervoer over de Weg
Lanschot,Certificerend Actuaris Lanschot
Fluor Nederland,Beleggingscommissie Fluor Nederland
Mercer,Pensioenadministratie Mercer
Levensmiddelenbedrijf,Vermogensbeheer Levensmiddelenbedrijf
Cate Koninklijke,Raad van toezicht Cate Koninklijke
Progress Unilever,Vermogensbeheer Progress Unilever
Houthandel,Vermogensbeheer Houthandel
ABN AMRO Bank,Vermogensbeheer ABN AMRO Bank
Transavia vliegers,Vermogensbeheer Transavia vliegers
Archimedes,Vermogensbeheer Archimedes
BMO,Commercieel belangrijk BMO
Woningcorporaties,Commercieel belangrijk Woningcorporaties
Coram,Auditcommissie Coram
Heineken,Commercieel belangrijk Heineken
Personeelsdiensten,Commercieel belangrijk Personeelsdiensten
SCA,Commercieel belangrijk SCA
Hagee,Commercieel belangrijk Hagee
McCain,Commercieel belangrijk McCain
Progress Unilever,Commercieel belangrijk Progress Unilever
Forbo,Commercieel belangrijk Forbo
Lombard Odier,Commercieel belangrijk Lombard Odier
Achmea Personeel,Commercieel belangrijk Achmea Personeel
Personeelspensioenfonds APG,Commercieel belangrijk Personeelspensioenfonds APG
Banden- en Wielenbranche,Commercieel belangrijk Banden- en Wielenbranche
KCM,Commercieel belangrijk KCM
Coram,Vermogensbeheer Coram
Mn Services,Vermogensbeheer Mn Services
Rockwool,Pensioenadministratie Rockwool
Ernst & Young,Vermogensbeheer Ernst & Young
Huisartsen,Vermogensbeheer Huisartsen
"Metalektro, bedrijfstakpensioenfonds","Vermogensbeheer Metalektro, bedrijfstakpensioenfonds"
OWASE P,Vermogensbeheer OWASE P
Co-op,Vermogensbeheer Co-op
Sigarenindustrie en aanverwante Bedrijven,Vermogensbeheer Sigarenindustrie en aanverwante Bedrijven
Drankindustrie,Vermogensbeheer Drankindustrie
Grolsche bierbrouwerij,Vermogensbeheer Grolsche bierbrouwerij
Lloyd's Register Nederland,Vermogensbeheer Lloyd's Register Nederland
Betonproduktenindustrie,Vermogensbeheer Betonproduktenindustrie
Holland Casino,Vermogensbeheer Holland Casino
Witteveen & Bos,Commercieel belangrijk Witteveen & Bos
Werk en (re)Integratie,Bestuursbureau Werk en (re)Integratie
Staples,Vermogensbeheer Staples
Fresenius Nederland,Beleggingscommissie Fresenius Nederland
Koopvaardij,Beleggingsadviseur Koopvaardij
Notarieel,Commercieel belangrijk Notarieel
Archimedes,Fiduciair Manager Archimedes
MPD,Adviserend Actuaris MPD
Robeco AM,Uitbestedingscommissie Robeco AM
IBM Nederland,Uitbestedingscommissie IBM Nederland
